#Rank,CustomerId,Surname,Balance,CreditScore,Gender,Age,HasCrCard,EstimatedSalary
1852,15604146,Kaodilinakachukwu,103654,608,Female,38,1,137080
1853,15793813,Onochie,103688,774,Male,36,0,118972
1854,15808868,Nwokeocha,103697,652,Female,31,0,155221
1855,15766288,Ikechukwu,103701,586,Female,36,1,194073
1856,15601787,Greco,103712,641,Male,35,0,192464
1857,15708362,Watson,103730,793,Male,63,1,80272
1858,15772329,Fiorentino,103741,580,Male,45,1,47429
1859,15771873,Buccho,103769,776,Female,37,1,194099
1860,15638149,Rowley,103772,528,Male,37,1,197112
1861,15618661,Chidubem,103805,535,Male,30,1,125711
1862,15762198,Capon,103818,812,Male,34,1,166038
1863,15695499,Chinwemma,103821,510,Female,45,0,77879
1864,15739292,Gorshkov,103838,609,Male,31,1,150218
1865,15714970,Holbrook,103847,667,Male,32,1,20561
1866,15723484,Hunt,103873,669,Female,42,1,148612
1867,15706269,Willis,103894,489,Female,47,1,107625
1868,15648225,Shephard,103895,652,Female,38,0,159649
1869,15573112,Kang,103907,602,Male,29,1,161230
1870,15602010,Zikoranaudodimma,103910,850,Female,45,1,60083
1871,15608246,Wentcher,103914,736,Female,36,1,110036
1872,15618243,Buckland,103960,730,Female,43,1,193650
1873,15791191,Mitchell,103997,633,Male,59,1,103159
1874,15696826,James,104001,633,Female,32,0,36643
1875,15628950,Coates,104014,501,Male,25,1,114774
1876,15796834,Rivers,104016,652,Male,35,1,55208
1877,15667438,Ferguson,104017,675,Female,38,0,22069
1878,15790683,Matthews,104077,850,Male,36,0,68594
1879,15624623,Hs?,104089,516,Male,35,0,119666
1880,15787772,Hansen,104091,759,Female,38,0,91562
1881,15716218,Higgins,104119,709,Female,45,0,174032
1882,15710365,Thomson,104129,646,Male,50,1,181795
1883,15687852,Vinogradoff,104146,611,Male,30,0,159630
1884,15636820,Loggia,104150,725,Male,40,1,62028
1885,15605684,Phelan,104159,664,Female,31,1,134170
1886,15574068,Norman,104217,504,Male,56,0,55857
1887,15575619,Teakle,104254,656,Female,32,1,17034
1888,15704340,Fu,104255,581,Female,37,1,86609
1889,15757897,Binder,104259,766,Female,26,1,428
1890,15651664,Wilder,104268,615,Female,61,1,62846
1891,15790235,Hsing,104291,778,Male,40,1,117507
1892,15801658,Summers,104306,580,Male,55,0,175750
1893,15792989,Bianchi,104309,543,Female,71,1,25650
1894,15672091,Ulyanov,104336,786,Female,32,0,59560
1895,15681878,Fan,104339,436,Male,45,1,183540
1896,15628203,Pai,104340,637,Female,38,0,119883
1897,15695679,Yao,104349,776,Male,39,0,79503
1898,15669219,Wilson,104356,588,Male,35,1,94499
1899,15701265,Tretiakov,104357,559,Female,36,0,54184
1900,15610753,Cremonesi,104368,581,Male,28,1,29938
1901,15626985,Yefremova,104387,850,Female,39,1,105887
1902,15771728,Mackenzie,104406,641,Male,41,1,17384
1903,15696514,Calabrese,104414,587,Female,37,1,192026
1904,15614827,Sun,104430,503,Male,42,1,147558
1905,15653521,Onuora,104450,850,Female,40,1,748
1906,15656840,Zikoranachukwudim,104451,547,Female,29,1,37160
1907,15606097,Zakharov,104470,665,Male,63,1,25165
1908,15791780,Ts'ao,104478,706,Female,48,0,158249
1909,15748352,Endrizzi,104488,598,Male,34,0,43250
1910,15738411,Ho,104499,505,Male,34,0,126451
1911,15766686,Nebechi,104502,659,Female,39,1,20653
1912,15730345,Miah,104508,617,Female,35,1,147636
1913,15632899,Nwankwo,104509,662,Male,20,0,73108
1914,15718765,Maclean,104533,501,Male,43,0,81124
1915,15597949,Gilbert,104553,768,Female,47,1,48137
1916,15681026,Lucciano,104553,795,Female,33,1,120854
1917,15750156,Yu,104568,662,Male,59,1,8059
1918,15792862,Blinova,104584,653,Male,41,1,15126
1919,15678058,Ayers,104584,584,Male,38,1,176679
1920,15682021,Lai,104593,471,Male,23,1,131736
1921,15763907,Watts,104614,820,Female,39,1,61538
1922,15640266,Windsor,104632,621,Male,41,1,95551
1923,15698732,K'ung,104677,789,Male,51,1,74265
1924,15732199,Gether,104679,837,Male,31,0,50973
1925,15813946,Duffy,104683,637,Male,51,1,55267
1926,15577064,Onyekaozulu,104703,592,Male,36,1,107949
1927,15781505,Giordano,104720,685,Male,20,1,38691
1928,15785350,Austin,104745,528,Male,23,1,170263
1929,15802758,Chinwendu,104754,594,Female,23,1,56757
1930,15749638,Kaodilinakachukwu,104761,605,Female,51,1,165575
1931,15811978,Trevisani,104763,693,Male,46,1,62368
1932,15618018,Dickson,104784,571,Female,35,0,178513
1933,15626612,Yin,104784,741,Male,40,1,135164
1934,15762605,Wall,104797,685,Male,58,1,154181
1935,15781802,Abramov,104817,755,Male,41,1,126014
1936,15624596,Trentini,104822,534,Female,23,0,160176
1937,15610337,Stephens,104832,666,Male,35,1,175015
1938,15741875,Williamson,104834,746,Female,25,0,71911
1939,15700964,Pollard,104849,624,Female,27,1,167387
1940,15690209,Hsiao,104857,715,Female,32,1,114150
1941,15718242,Wollstonecraft,104887,725,Female,47,0,86623
1942,15632736,Liang,104911,850,Female,30,1,42933
1943,15572547,Vaguine,104930,670,Female,45,1,155922
1944,15600103,Alexander,104944,633,Female,29,1,97684
1945,15724848,Oluchukwu,104948,516,Female,46,1,115789
1946,15799710,Wei,104960,739,Male,37,0,80884
1947,15702030,Azarov,104983,516,Female,29,1,157379
1948,15627699,Pirogova,105000,558,Male,32,1,190020
1949,15595426,Madukwe,105001,603,Male,57,1,87412
1950,15652048,Thompson,105007,563,Male,44,1,197812
1951,15619953,Efremov,105021,662,Female,42,1,48242
1952,15785406,Watts,105056,446,Female,51,0,70614
1953,15815428,Biryukova,105057,823,Male,34,1,9218
1954,15622478,Greaves,105062,698,Female,40,1,107815
1955,15678210,Robson,105070,684,Male,38,1,198355
1956,15598175,Toscani,105082,592,Female,26,1,132802
1957,15692142,Rogova,105087,707,Female,48,1,180345
1958,15710105,Stirling,105099,581,Female,26,1,184520
1959,15815560,Bogle,105103,666,Male,74,1,46172
1960,15735909,McDonald,105103,607,Female,39,1,104722
1961,15750264,Pinto,105129,757,Male,30,1,62972
1962,15805463,Board,105164,682,Male,32,1,164170
1963,15709252,Fuller,105174,616,Female,28,0,29835
1964,15670080,Mackenzie,105204,584,Female,29,0,138490
1965,15665168,Calabrese,105207,681,Female,44,1,163558
1966,15644296,Scott,105210,740,Female,30,1,1853
1967,15677105,Rossi,105215,706,Female,46,1,108700
1968,15650670,Bateson,105223,567,Female,40,1,93796
1969,15580043,Murray,105229,575,Female,22,1,34397
1970,15765518,Gregson,105230,643,Female,51,1,34968
1971,15785490,Okeke,105230,771,Male,50,1,16282
1972,15643392,Woods,105239,742,Male,31,1,19700
1973,15758023,Grigoryeva,105245,544,Male,47,0,99922
1974,15747014,Pisani,105245,850,Female,28,0,74780
1975,15778694,Sievier,105250,638,Female,26,1,23491
1976,15606552,Akabueze,105262,741,Male,37,1,149504
1977,15763579,Castro,105265,702,Female,36,1,52910
1978,15688619,Scott,105266,718,Male,45,1,193725
1979,15706729,Hsiao,105272,662,Male,38,0,179833
1980,15731463,Gboliwe,105302,818,Male,43,1,78942
1981,15623744,McLean,105303,634,Male,34,1,123165
1982,15630913,Rosas,105304,476,Female,69,0,134260
1983,15801247,Fan,105318,605,Male,39,1,138021
1984,15796351,Yao,105346,603,Male,35,1,130380
1985,15623369,Clifton,105356,708,Male,52,1,123
1986,15688059,Chin,105356,807,Female,42,1,130489
1987,15790019,Onwughara,105388,520,Male,35,1,25059
1988,15612092,Palmer,105398,646,Male,32,1,78112
1989,15696231,Chiwetelu,105406,635,Male,29,1,149854
1990,15717065,Balashov,105420,686,Female,35,1,35356
1991,15622911,Jude,105420,759,Male,42,0,121409
1992,15803842,Dunn,105427,752,Female,45,0,89773
1993,15774192,Miller,105436,539,Female,38,0,80575
1994,15610379,Barclay-Harvey,105444,599,Male,30,1,121125
1995,15643487,Sal,105474,630,Male,39,0,58855
1996,15681274,Marshall,105474,726,Female,56,1,46045
1997,15588372,Kirsova,105489,715,Female,37,0,143096
1998,15685564,Nnamutaezinwa,105493,748,Male,35,1,150057
1999,15723685,Ekechukwu,105515,601,Female,26,1,50071
2000,15644934,Gentry,105522,466,Male,26,1,10842
2001,15697497,She,105526,518,Female,45,1,73418
2002,15662238,Davis,105563,822,Male,37,1,182625
2003,15650322,Grigoryeva,105589,701,Female,34,0,74694
2004,15607837,Muriel,105600,746,Female,29,1,43106
2005,15724181,Hudson,105603,647,Male,47,1,157361
2006,15808851,Bufkin,105609,511,Female,75,0,105425
2007,15755077,Norton,105618,778,Female,37,1,133700
2008,15696539,Wade,105628,613,Female,21,1,36561
2009,15725024,Pope,105664,805,Female,33,0,33331
2010,15780386,Ferri,105684,654,Male,40,1,173617
2011,15568573,Graham,105702,554,Female,51,0,179798
2012,15675896,Gough,105723,680,Female,42,1,90558
2013,15814690,Chukwujekwu,105736,595,Female,64,1,89936
2014,15617790,Hanson,105767,626,Female,29,0,41105
2015,15656086,Bovee,105770,542,Male,54,0,140930
2016,15786196,Han,105771,555,Female,44,1,60534
2017,15691703,Shih,105792,545,Male,47,0,67830
2018,15625395,Chinomso,105796,585,Female,28,1,41219
2019,15659366,Shih,105799,807,Male,43,1,34888
2020,15750921,Monds,105843,521,Male,37,1,84908
2021,15604020,Otoole,105859,773,Female,36,0,4395
2022,15569624,Feng,105865,671,Female,31,1,145567
2023,15598510,Colombo,105907,583,Male,27,1,195732
2024,15567834,Nieves,105918,719,Male,49,1,16247
2025,15689294,Onyemaechi,105935,705,Male,44,1,82464
2026,15713532,Wang,105957,646,Female,29,1,15471
2027,15813844,Barnes,105962,703,Male,37,0,74159
2028,15796787,Vassiliev,105969,681,Male,46,1,5772
2029,15731555,Ross-Watt,106000,595,Female,45,0,191449
2030,15702277,Smith,106006,650,Male,34,0,142995
2031,15675337,Forbes,106012,395,Female,34,1,17377
2032,15671172,Swain,106012,623,Male,23,0,191416
2033,15595153,Tucker,106023,644,Female,44,0,148727
2034,15585249,Mironova,106037,741,Male,42,1,194687
2035,15717706,Forbes,106046,799,Female,32,1,17938
2036,15661034,Ngozichukwuka,106059,813,Female,29,0,187977
2037,15589018,Padilla,106070,719,Male,28,1,183893
2038,15665861,Avdeev,106071,733,Male,44,0,101617
2039,15629299,Yang,106075,546,Female,52,1,23548
2040,15610403,Anderson,106086,659,Male,43,1,26901
2041,15641091,Onyemauchechukwu,106089,695,Female,31,0,99538
2042,15635459,Shih,106117,667,Female,27,1,3675
2043,15583076,Deleon,106117,588,Male,41,1,198767
2044,15799350,Mao,106134,632,Male,41,0,105570
2045,15620204,Walker,106138,543,Female,57,1,120657
2046,15771477,Fiorentini,106160,779,Male,49,0,116894
2047,15657107,Angelo,106172,563,Female,46,1,163146
2048,15591100,Chiemela,106191,675,Male,36,0,22994
2049,15785519,May,106192,565,Male,36,1,149576
2050,15756820,Fleming,106199,655,Female,26,0,32020
2051,15586523,Paten,106231,720,Female,29,1,69904
2052,15590876,Knupp,106234,764,Female,24,0,115676
2053,15691952,Fanucci,106243,676,Male,37,1,166678
2054,15726774,Field,106251,563,Male,35,0,39546
2055,15583394,Zuyev,106260,659,Male,39,1,198103
2056,15726153,Fanucci,106261,622,Male,31,1,2578
2057,15763108,Davis,106262,600,Male,53,1,93630
2058,15720662,Sholes,106267,787,Female,35,1,16607
2059,15568904,Kruglova,106289,608,Male,34,1,36639
2060,15675675,Slate,106291,850,Female,32,1,121983
2061,15706810,Zuyeva,106302,606,Female,32,0,59061
2062,15774696,Cole,106308,640,Female,75,0,113429
2063,15598157,Onyeorulu,106328,728,Male,34,1,88681
2064,15660505,Romani,106345,735,Male,46,1,114371
2065,15795881,Alexander,106365,776,Male,35,1,148528
2066,15612087,Dike,106377,671,Male,45,0,158265
2067,15729238,Peng,106396,631,Male,48,1,150661
2068,15578096,Nnachetam,106398,537,Male,26,0,103563
2069,15584477,K?,106405,655,Female,35,1,82900
2070,15610226,Fenton,106415,614,Female,27,0,77501
2071,15657809,Lo,106416,585,Male,55,1,122961
2072,15764226,Lu,106426,630,Female,28,1,20345
2073,15766378,Marsden,106432,714,Female,45,1,164118
2074,15567063,Manna,106435,766,Female,34,0,137996
2075,15642202,Whitfield,106454,821,Female,37,0,127413
2076,15640846,Chibueze,106458,546,Female,58,1,128882
2077,15577905,Hammond,106487,660,Male,34,0,182263
2078,15572182,Onwuamaeze,106507,505,Female,33,1,45446
2079,15624293,Mironova,106512,514,Female,46,1,55072
2080,15754084,Palazzi,106519,710,Male,35,1,127952
2081,15630704,Haworth,106521,612,Male,32,1,177092
2082,15705403,Seleznyova,106521,617,Female,46,0,86587
2083,15702968,Artemieva,106546,733,Male,74,1,134590
2084,15677049,O'Brien,106570,595,Female,25,0,177026
2085,15735688,Horsley,106596,753,Female,31,0,91306
2086,15783029,Monaldo,106604,671,Male,34,1,26388
2087,15757895,Martin,106629,569,Male,30,0,44115
2088,15757015,Davies,106641,783,Female,41,1,176946
2089,15760641,Gerald,106649,608,Male,26,0,7064
2090,15806447,Mazzanti,106684,690,Male,32,1,137916
2091,15579820,Robertson,106688,704,Male,38,1,173777
2092,15569438,Mai,106703,607,Male,36,0,198314
2093,15617486,Sullivan,106723,530,Male,52,0,109960
2094,15785705,Thomson,106732,705,Female,44,1,137420
2095,15644621,Mironova,106756,597,Female,40,1,151168
2096,15583597,Ikedinachukwu,106759,696,Male,47,1,80591
2097,15629511,Lavrentiev,106771,738,Male,49,1,123499
2098,15808044,Ts'ui,106804,580,Female,65,1,107891
2099,15654156,Marcelo,106808,722,Female,32,1,76999
2100,15805429,Murray,106820,699,Male,59,0,163570
2101,15771580,Davison,106832,850,Female,38,0,148978
2102,15773277,Barnes,106837,676,Male,35,1,84200
2103,15723488,Watson,106854,668,Male,47,0,157959
2104,15788183,Longo,106870,458,Female,43,1,100564
2105,15588219,Ford,106872,850,Female,38,1,29333
2106,15792222,Johnstone,106882,712,Female,37,0,169387
2107,15728709,Shih,106901,484,Male,40,0,118046
2108,15657284,Day,106902,674,Male,47,1,2079
2109,15584037,Denisov,106913,727,Male,58,1,25881
2110,15616270,Chao,106921,620,Male,42,0,119747
2111,15580487,Martin,106923,627,Male,38,0,84270
2112,15658935,Freeman,106937,630,Female,34,1,138275
2113,15732020,Rutherford,106938,610,Male,57,0,186612
2114,15637522,Shubina,106942,507,Female,31,0,44001
2115,15718921,Ho,106957,625,Male,32,1,134794
2116,15754105,Olisanugo,106967,650,Male,37,0,24495
2117,15785358,Gresswell,106969,586,Male,46,1,79367
2118,15597591,Lung,107000,456,Male,29,1,153420
2119,15588186,Polyakov,107023,520,Male,45,1,32904
2120,15593715,Castiglione,107028,634,Male,27,1,173426
2121,15725818,Chibuzo,107041,583,Male,40,1,5636
2122,15671139,Brizendine,107043,694,Male,39,1,102284
2123,15571873,Sung,107065,655,Male,24,1,51960
2124,15613854,Mauldon,107073,622,Female,46,1,30985
2125,15589698,De Luca,107105,555,Male,42,1,41304
2126,15792329,Mao,107106,494,Male,37,1,172063
2127,15609254,Fernandez,107135,513,Female,41,1,160547
2128,15794178,Walpole,107137,657,Male,34,1,153895
2129,15709741,Hussain,107141,668,Male,28,1,193019
2130,15634950,Obiajulu,107175,657,Male,57,1,126370
2131,15729412,Holloway,107192,682,Male,38,1,15669
2132,15724423,Wilson,107194,571,Female,38,0,38963
2133,15661290,Hightower,107200,785,Female,38,0,146399
2134,15748856,Liang,107210,664,Male,32,1,112340
2135,15613014,Hs?,107234,722,Male,29,1,24925
2136,15679294,Brennan,107239,589,Female,46,1,37024
2137,15775891,Myers,107248,634,Male,48,1,103712
2138,15725664,Wallace,107283,549,Female,38,0,157443
2139,15629787,Tu,107304,652,Male,27,0,44436
2140,15663650,Russell,107304,698,Male,52,1,28806
2141,15668958,Chatfield,107316,521,Male,30,1,64300
2142,15614813,Cocci,107363,777,Female,46,1,487
2143,15646859,Heydon,107363,621,Male,47,1,66799
2144,15743582,T'ang,107376,632,Female,27,1,62703
2145,15621244,Gallo,107380,678,Male,36,1,84460
2146,15670602,Burgess,107418,790,Male,24,0,160450
2147,15709604,McMillan,107433,781,Male,23,1,173843
2148,15669411,Muse,107468,750,Female,52,1,126233
2149,15588090,Ferri,107495,726,Female,51,1,140938
2150,15807837,Mazzanti,107500,640,Female,30,1,187632
2151,15640953,Bligh,107509,611,Female,26,1,120802
2152,15614923,Nielson,107512,630,Male,41,0,46157
2153,15596414,Chandler,107525,796,Male,41,1,18510
2154,15614213,Muramats,107549,620,Male,37,1,71176
2155,15587596,Morrison,107553,628,Female,39,1,117523
2156,15590888,Wade,107556,693,Female,34,0,154631
2157,15677382,Miller,107570,625,Female,69,1,182336
2158,15674637,Pagnotto,107572,491,Female,68,0,113696
2159,15636595,Loton,107593,602,Male,37,0,153123
2160,15659420,Foley,107594,659,Male,32,1,102417
2161,15663446,Volkova,107602,792,Female,29,1,18922
2162,15722409,Ritchie,107605,693,Male,47,1,80149
2163,15669175,Ts'ai,107638,479,Male,24,0,169506
2164,15790564,She,107649,832,Female,40,1,134639
2165,15737961,Miller,107713,509,Female,29,1,92898
2166,15740223,Walton,107715,479,Male,51,1,86128
2167,15777892,Samsonova,107721,721,Male,37,1,158591
2168,15738497,Chukwujamuike,107727,729,Male,44,1,153065
2169,15713596,Ugochukwu,107736,428,Female,62,0,58382
2170,15788539,Foxall,107748,501,Female,34,1,9249
2171,15677305,Hsieh,107749,490,Female,35,1,3937
2172,15725076,Anderson,107752,653,Female,27,1,33389
2173,15774738,Campa,107765,632,Male,44,1,185668
2174,15757537,Francis,107785,610,Female,31,1,141138
2175,15609058,Wan,107787,676,Male,23,0,116379
2176,15679075,Onyemere,107799,701,Male,37,1,16967
2177,15702416,Cecil,107806,734,Male,43,0,182506
2178,15588449,Chuang,107813,591,Female,27,0,162502
2179,15661670,Chidozie,107819,524,Female,31,1,199725
2180,15607537,Crawford,107851,587,Male,46,1,139431
2181,15768816,Shen,107857,570,Male,42,1,127529
2182,15622305,Martin,107868,746,Female,33,1,146192
2183,15681991,Walsh,107872,542,Male,32,1,125303
2184,15670172,Padovesi,107879,622,Female,30,0,196895
2185,15694506,Briggs,107885,611,Male,31,1,183488
2186,15795759,Bergamaschi,107907,698,Female,52,1,168886
2187,15615050,Savage,107916,575,Male,47,1,63452
2188,15714575,Batt,107926,742,Female,44,0,17375
2189,15705676,Wardle,107944,690,Female,35,0,48478
2190,15705860,McKenzie,107949,631,Male,40,1,52450
2191,15578865,Palerma,107959,632,Female,50,1,6985
2192,15573888,Ponomaryov,107963,648,Female,43,0,186439
2193,15734659,Sozonov,107978,640,Female,46,1,155876
2194,15655903,Michael,107980,701,Female,34,1,119375
2195,15753888,Johnston,108005,607,Female,62,1,23387
2196,15630910,Treacy,108007,800,Female,49,0,47125
2197,15746564,O'Sullivan,108011,566,Male,42,1,157486
2198,15688849,Martin,108019,609,Male,48,1,184525
2199,15670898,McKenzie,108028,740,Female,60,0,25980
2200,15665790,Rowntree,108055,538,Male,39,1,27231
2201,15721116,Napolitano,108058,597,Male,24,1,187826
2202,15625641,Forbes,108071,697,Female,74,1,16446
2203,15592816,Udokamma,108076,623,Female,48,1,118855
2204,15717879,Chen,108079,712,Female,79,1,174119
2205,15794204,Manna,108117,687,Male,28,1,27411
2206,15618695,Ts'ui,108117,571,Female,22,0,53329
2207,15646810,Quinn,108122,603,Male,44,1,108488
2208,15711687,Nero,108129,434,Male,41,0,56784
2209,15675185,Chuang,108129,697,Female,48,1,103944
2210,15780124,Blair,108132,841,Male,74,0,60830
2211,15681928,Yancy,108155,577,Female,35,1,105408
2212,15631838,Findlay,108166,606,Male,61,0,8643
2213,15815095,Burfitt,108186,850,Male,54,0,24093
2214,15808960,Alleyne,108197,620,Male,40,1,49722
2215,15652030,De Bernales,108205,637,Male,49,1,169038
2216,15741385,Gallop,108231,710,Male,45,1,188574
2217,15728474,Chienezie,108236,558,Male,32,1,143783
2218,15686870,Ball,108239,761,Male,36,0,99444
2219,15664734,T'ao,108245,673,Female,25,1,103574
2220,15585451,Vigano,108263,558,Female,32,1,6935
2221,15642934,Mason,108269,669,Female,35,1,174970
2222,15742668,Day,108269,626,Female,37,1,5598
2223,15764409,Goodman,108287,613,Male,37,1,114153
2224,15609558,McDonald,108289,835,Female,47,1,45860
2225,15702601,Wyatt,108300,680,Male,30,0,44385
2226,15619674,White,108306,649,Female,35,1,192486
2227,15754443,Fadden,108308,443,Female,35,1,129031
2228,15569682,Leckie,108308,768,Male,37,1,41788
2229,15633194,Osborne,108309,771,Female,41,1,137510
2230,15776558,Nicholls,108345,673,Male,31,0,38802
2231,15682268,Steere,108349,676,Female,26,0,60232
2232,15787597,Hsu,108378,420,Female,31,1,9905
2233,15588622,Marchesi,108381,599,Male,25,1,79006
2234,15798960,Meng,108393,680,Male,33,0,39058
2235,15756472,Odinakachukwu,108397,804,Male,25,1,128277
2236,15599090,McKelvey,108407,564,Male,40,1,83681
2237,15620836,Lo Duca,108411,816,Female,34,1,102909
2238,15600821,Hardy,108424,721,Male,69,1,178418
2239,15737741,McKay,108432,607,Female,33,0,109291
2240,15607748,Bennett,108433,498,Male,37,1,14865
2241,15623499,Holman,108438,548,Male,49,0,127023
2242,15592773,Eberegbulam,108449,630,Female,51,0,88373
2243,15687329,Hope,108466,763,Female,32,1,60552
2244,15577515,Sung,108477,554,Female,55,0,140003
2245,15731148,Isayeva,108477,558,Male,33,1,109097
2246,15750335,Paterson,108509,850,Male,43,1,184045
2247,15630580,Y?,108513,751,Male,34,1,27098
2248,15645271,Radcliffe-Brown,108528,615,Male,24,0,179488
2249,15711759,Wilkins,108541,576,Female,29,1,126469
2250,15805637,Hsing,108546,625,Male,36,1,133808
2251,15572356,Tsai,108555,689,Male,73,0,167969
2252,15615797,Hyde,108585,743,Male,59,1,192127
2253,15644896,Thompson,108587,663,Male,32,1,182355
2254,15778025,Dellucci,108589,685,Male,43,0,194809
2255,15790379,Rowe,108601,629,Male,28,1,119648
2256,15585067,Wilson,108632,634,Male,31,1,179486
2257,15688128,Loggia,108654,542,Male,34,0,144725
2258,15735388,Wayn,108665,717,Female,25,1,190012
2259,15729279,Naylor,108692,718,Female,25,1,63031
2260,15707634,Anenechukwu,108699,775,Female,32,1,161070
2261,15770968,Leason,108712,741,Female,19,1,24857
2262,15745455,Navarrete,108717,638,Male,62,1,74241
2263,15652527,Champion,108725,680,Male,44,0,72330
2264,15697100,Wright,108737,772,Female,48,1,184565
2265,15670039,Sun,108739,509,Female,25,1,106921
2266,15713853,Ifeajuna,108748,732,Male,42,1,65323
2267,15768471,Wagner,108755,554,Female,54,1,40914
2268,15641860,Bradley,108760,764,Male,34,1,166325
2269,15613427,Barling,108798,683,Female,49,0,140763
2270,15754267,Fleming,108805,697,Male,31,0,123826
2271,15766355,Lettiere,108807,550,Male,49,1,61447
2272,15686164,Maclean,108822,850,Female,31,1,132173
2273,15751158,Mashman,108825,571,Female,42,1,55559
2274,15576216,Chienezie,108863,655,Female,37,1,79555
2275,15799635,Arbour,108867,577,Male,51,0,140801
2276,15668830,Wan,108882,650,Male,24,1,104493
2277,15586069,Abernathy,108883,560,Female,30,1,27915
2278,15779176,Dike,108888,565,Female,58,0,135876
2279,15807889,Wood,108892,634,Male,74,1,10078
2280,15791867,Hicks,108896,544,Male,44,0,69228
2281,15789014,Scott,108909,600,Female,26,1,82547
2282,15566735,Obialo,108914,548,Female,36,1,140460
2283,15778155,T'ien,108914,520,Female,31,1,183572
2284,15648362,Kennedy,108924,728,Male,45,1,84300
2285,15681115,Iroawuchi,108935,787,Male,39,1,101168
2286,15642098,Cox,108960,622,Female,36,1,111180
2287,15617432,Folliero,109003,816,Female,40,1,79581
2288,15588537,Robinson,109013,615,Female,41,1,196500
2289,15619016,McMinn,109020,660,Male,46,1,33681
2290,15637717,Lockington,109027,704,Male,41,1,43117
2291,15768151,Romano,109032,514,Female,45,0,155407
2292,15713912,Nebechukwu,109044,516,Female,45,0,115818
2293,15711455,Kuo,109045,740,Female,36,0,94555
2294,15777586,Moss,109052,784,Female,42,1,6410
2295,15600991,Artemieva,109053,694,Male,31,1,19449
2296,15716381,Greece,109062,666,Female,50,1,140136
2297,15594502,Zotov,109093,655,Male,37,1,1776
2298,15736299,Bell,109107,729,Female,36,0,121311
2299,15798709,Gill,109109,588,Male,32,0,4994
2300,15744105,Kodilinyechukwu,109118,768,Female,28,0,50911
2301,15607330,Vasilyev,109122,713,Male,42,0,167873
2302,15813327,Romani,109131,710,Male,21,1,56192
2303,15797822,Kingsley,109137,678,Male,28,1,58814
2304,15693205,Peng,109154,691,Female,41,1,148849
2305,15731117,Kao,109161,437,Male,28,1,152987
2306,15711901,Iheatu,109163,500,Male,45,1,126145
2307,15592461,Jackson,109166,603,Male,26,1,92841
2308,15695339,Lucchesi,109173,517,Male,53,1,54676
2309,15723320,Azubuike,109175,651,Female,25,1,114566
2310,15645847,P'eng,109197,569,Male,35,1,109393
2311,15788920,Ch'ang,109197,836,Female,32,1,55218
2312,15673790,Taylor,109201,498,Male,45,0,165990
2313,15647807,Wyckoff,109220,642,Male,40,1,52828
2314,15581036,Beyer,109309,712,Female,40,1,120159
2315,15731543,Becker,109328,679,Male,58,1,3829
2316,15733964,Russo,109330,606,Female,53,1,75860
2317,15591010,McDonald,109339,434,Male,55,1,96406
2318,15602354,Ginikanwa,109342,564,Male,33,1,75633
2319,15784280,Reilly,109343,686,Male,35,0,86043
2320,15627848,Tsui,109346,683,Male,38,1,102666
2321,15806256,Jackson,109349,540,Male,48,1,88703
2322,15593954,Eva,109387,516,Female,47,0,121365
2323,15631406,Munro,109388,459,Male,50,1,155721
2324,15659807,Nwachinemelu,109402,657,Male,41,1,66464
2325,15754849,Tyler,109421,776,Female,32,1,126517
2326,15583668,Ludowici,109472,726,Female,42,0,175161
2327,15747323,Vasilyeva,109472,535,Male,48,1,157358
2328,15774166,Mitchell,109484,607,Female,24,0,127561
2329,15727811,Ts'ui,109494,661,Female,47,0,188324
2330,15629545,Buckley,109509,790,Female,41,0,86776
2331,15571284,Elmore,109528,756,Male,32,1,56176
2332,15725141,Whiddon,109528,716,Female,44,1,27342
2333,15652084,Boni,109542,515,Male,40,1,166371
2334,15568046,Izuchukwu,109558,809,Male,24,1,183515
2335,15768295,Warner,109564,778,Female,34,0,113047
2336,15614420,Gerasimova,109570,531,Female,32,1,172050
2337,15801462,Yermakov,109578,716,Male,31,1,51504
2338,15624755,Pepper,109628,707,Female,40,1,189366
2339,15744913,Chizoba,109633,788,Male,36,1,16149
2340,15588580,Kennedy,109647,584,Female,36,1,70241
2341,15733387,Pham,109663,707,Female,53,1,52110
2342,15809263,Y?,109677,729,Male,29,1,25548
2343,15569247,Mitchell,109680,727,Female,57,0,753
2344,15730397,Narelle,109682,739,Male,40,1,193321
2345,15617331,Sergeyeva,109698,637,Female,39,1,88391
2346,15636024,Blackburn,109699,692,Female,34,1,37899
2347,15809826,Craigie,109706,728,Female,46,1,20277
2348,15749679,Beck,109724,699,Male,39,1,180022
2349,15681068,Chinagorom,109730,796,Female,45,1,123883
2350,15758813,Campbell,109733,350,Male,39,0,123602
2351,15623791,Padovesi,109741,632,Female,40,1,141897
2352,15585835,Lord,109784,655,Female,34,1,134034
2353,15579914,Garcia,109787,633,Male,30,1,139713
2354,15658233,Naylor,109798,724,Female,41,0,149594
2355,15782468,Hart,109800,850,Male,51,1,12458
2356,15714256,Gerasimov,109805,666,Male,30,0,163626
2357,15755018,Dickinson,109819,568,Female,26,1,154491
2358,15624013,Maxwell,109845,541,Female,39,1,25289
2359,15764072,Somerville,109849,759,Female,31,1,42013
2360,15671582,John,109869,660,Male,38,1,154642
2361,15723864,Lucas,109877,828,Male,47,1,83611
2362,15792668,Hamilton,109908,661,Male,37,1,115038
